Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
A Walk Among the Tombstones,Action,R ,114,9/19/2014,9,2014,28000000,Liam Neeson,Dan Stevens (IV),David Harbour,Scott Frank,Scott Frank,"Based on Lawrence Block's bestselling series of mystery novels, A Walk among the Tombstones stars Liam Neeson as Matt Scudder, an ex-NYPD cop who now works as an unlicensed private investigator operating just outside the law. When Scudder reluctantly agrees to help a heroin trafficker (Dan Stevens) hunt down the men who kidnapped and then brutally murdered his wife, the PI learns that this is not the first time these men have committed this sort of twisted crime...nor will it be the last. Blurring the lines between right and wrong, Scudder races to track the deviants through the backstreets of New York City before they kill again. (C) Universal",Fresh,68,161,Spilled,53,37528
Supergirl,Action,PG ,89,11/21/1984,11,1984,35000000,Helen Slater,Faye Dunaway,Peter O'Toole,Jeannot Szwarc,David Odell,"A big-budget spin-off from the series of three successful Superman movies, this film stars Helen Slater as the counterpart to the famous comic-book superhero. Supergirl is Kara, Superman's young cousin. She is sent to Earth is search of a Krypton power source, a lost ring that has been turned into a paperweight. She disguises herself as Linda Lee, a meek high-school student. Peter O'Toole is Zaltar, a mad villain who wants to use the power of the ring to take over the world. Faye Dunaway plays the evil sorceress Selena, who is also plotting to get the gem and uses her incredible powers of black magic in service of her scheme. Linda Lee meets Ethan (Hart Bochner), who is under a spell cast by Selena, which causes him to fall in love with the first person he sees. Selena had intended to use the spell to make Ethan fall in love with her, and she is furious when his affections are directed toward Supergirl.",Rotten,9,32,Spilled,26,49240
Fool's Gold,Action,PG-13 ,112,2/8/2008,2,2008,70000000,Matthew McConaughey,Kate Hudson,Donald Sutherland,Andy Tennant,John Clafin,"How to Lose a Guy in 10 Days co-stars Kate Hudson and Matthew McConaughey re-team on the big screen for this adventurous tale about a treasure-hunting couple whose eight-year quest for the ultimate prize has left them flat broke and fresh out of gas. Ben ""Finn"" Finnegan (McConaughey) is a treasure hunter who has made it his mission in life to track down the Queen's Dowry -- a legendary collection of 40 chests filled with priceless treasure, and lost at sea in 1715. But in his single-minded quest to track down this sizable booty, Finn has sadly neglected his marriage to his loving wife Tess (Hudson). Tess has grown tired of the hunt, and now she's looking to start her life anew by going to work on the massive yacht of globetrotting billionaire Nigel Honeycutt (Donald Sutherland). But just as Tess begins to relish the freedom on her new, laid-back lifestyle, Finn uses his roughish charm to convince the adventurous baron and his debutante daughter Gemma (Alexis Dziena) that the elusive Spanish treasure is finally within reach. Of course no magnate in his right mind would reject the prospect of tracking down the most mythical treasure on the planet, and now as the hapless Tess is forced on yet another wild goose chase, her husband's former mentor Moe Fitch (Ray Winstone) and a greedy local gangster (Kevin Hart) up the stakes by joining in on the race. ~ Jason Buchanan, Rovi",Rotten,11,145,Spilled,48,356580
Force 10 From Navarone,Action,PG ,118,12/22/1978,12,1978,5000000,Robert Shaw,Harrison Ford,Edward Fox,Guy Hamilton,Carl Foreman,"Force 10 From Navarone was a sequel to the 1961 blockbuster The Guns of Navarone and tells the tale of ten widely divergent WW II troubleshooters who attempt to blow up a crucial bridge in Yugoslavia. As in the first Navarone film, one of the guerillas is a traitor: group leader Mallory (Robert Shaw) knows the identity of the turncoat, but can't prove it until it's almost too late. The beautiful female resistance leader is played by Barbara Bach, while Harrison Ford, fresh from his Star Wars success, is the romantic lead. Others in the cast include Edward Fox, Franco Nero and Alan Badel.",Rotten,59,17,Spilled,56,8315
Soldier,Action,R ,95,10/23/1998,10,1998,75000000,Kurt Russell,Jason Scott Lee,Connie Nielsen,Paul W.S. Anderson,David Webb Peoples,"Todd is a veteran of numerous galactic conflicts and, having lived by the American Force's Rules for Life since childhood, is one of the best. Scarred, toughened and numbed by a lifetime of fighting, he stands as the embodiment of Darwin's principle of survival of the fittest. But Todd's glory days are over. Scientific advancement has fostered a new breed of warriors.",Rotten,13,53,Spilled,44,44298
Ocean's Thirteen,Action,PG-13 ,122,6/8/2007,6,2007,85000000,George Clooney,Brad Pitt,Matt Damon,Steven Soderbergh,Brian Koppelman,"Cinema icon Al Pacino joins a powerhouse cast headed by of George Clooney, Brad Pitt, Matt Damon, Andy Garcia, Don Cheadle, Bernie Mac, and series newcomer Ellen Barkin for this, the third installment of director Steven Soderbergh's popular series of glitzy crime comedies. The only hotelier in Las Vegas who can claim that each and every one of his establishments has earned the Royal Review Board's Five Diamond Award, Willy Bank (Pacino) has made more than his share of enemies during his impressive ascent. While most of Bank's adversaries amount to little more than the occasional nuisance, however, this powerful player is about to find out that picking your enemies in Las Vegas can be a true gamble. In betraying Reuben Tishkoff (Elliott Gould), Bank has finally crossed the one man who could bring his entire empire crumbling to the ground -- Danny Ocean (Clooney). Now Reuben is in critical condition, and Ocean is determined to strike back at the man who nearly murdered his mentor. Bank may have taken down one of the original Ocean's Eleven, but his efforts only managed to unite the remaining ten closer than ever before. As the opening of Bank's newest casino draws near, Danny and the crew set into motion a bold plan to humiliate the cocksure casino owner and forever tarnish his spotless reputation. It won't be easy, but if Ocean and his team can get their elaborate plan together in time for the opening of The Bank, they just might be able to deliver some serious Las Vegas justice. ~ Jason Buchanan, Rovi",Fresh,70,199,Upright,75,1532643
Once Upon a Time in the West,Action,PG-13 ,165,12/21/1968,12,1968,5000000,Henry Fonda,Claudia Cardinale,Jason Robards,Sergio Leone,Sergio Leone,"In Sergio Leone's epic Western, shot partly in Monument Valley, a revenge story becomes an epic contemplation of the Western past. To get his hands on prime railroad land in Sweetwater, crippled railroad baron Morton (Gabriele Ferzetti) hires killers, led by blue-eyed sadist Frank (Henry Fonda), who wipe out property owner Brett McBain (Frank Wolff) and his family. McBain's newly arrived bride, Jill (Claudia Cardinale), however, inherits it instead. Both outlaw Cheyenne (Jason Robards) and lethally mysterious Harmonica (Charles Bronson) take it upon themselves to look after Jill and thwart Frank's plans to seize her land. As alliances and betrayals mutate, it soon becomes clear that Harmonica wants to get Frank for another reason -- it has ""something to do with death."" As in his ""Dollars"" trilogy, Leone transforms the standard Western plot through the visual impact of widescreen landscapes and the figures therein. At its full length, Once Upon a Time in the West is Leone's operatic masterwork, worthy of its legend-making title. ~ Lucia Bozzola, Rovi",Certified-Fresh,95,64,Upright,95,65809
Back to the Future Part III,Action,PG ,119,5/25/1990,5,1990,40000000,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Robert Zemeckis,Bob Gale,"The final installment in the Back to the Future trilogy picks up where the second film left off, but it casts off the dizzying time travel of the first two films for mostly routine comedy set in the Old West. Marty McFly (Michael J. Fox) receives a 70-year-old letter from his inventor friend, Doc Brown (Christopher Lloyd), who tells Marty that he has retreated a century in time to live out a relatively quiet life in the Old West. Doc Brown reveals that he hid his DeLorean car/time machine in an abandoned mine outside town, and when Marty does some research and discovers that the Doc died shortly after writing the letter, he decides to find the car, travel back in time, and warn the Doc about his demise. Meanwhile, the Doc, who has fallen in love with a local woman (Mary Steenburgen), realizes he can't hide in the past from the problems he has caused to the time flow in the previous two adventures. He reluctantly decides to return to the present with Marty, but first, they have to find a way to get the DeLorean up to time-travel velocity with a broken fuel line and no gasoline. ~ Don Kaye, Rovi",Certified-Fresh,80,45,Upright,78,694736
The Transporter Refueled,Action,PG-13 ,96,9/4/2015,9,2015,25000000,Ed Skrein,Lenn Kudrjawizki,Loan Chabanol,Camille Delamarre,Bill Collage,"Frank Martin (played by newcomer Ed Skrein), a former special-ops mercenary, is now living a less perilous life - or so he thinks - transporting classified packages for questionable people. When Frank's father (Ray Stevenson) pays him a visit in the south of France, their father-son bonding weekend takes a turn for the worse when Frank is engaged by a cunning femme-fatale, Anna (Loan Chabanol), and her three seductive sidekicks to orchestrate the bank heist of the century. Frank must use his covert expertise and knowledge of fast cars, fast driving and fast women to outrun a sinister Russian kingpin, and worse than that, he is thrust into a dangerous game of chess with a team of gorgeous women out for revenge.",Rotten,16,101,Spilled,30,14151
Snitch,Action,PG-13 ,112,2/22/2013,2,2013,35000000,Dwayne Johnson,Barry Pepper,Susan Sarandon,Ric Roman Waugh,Ric Roman Waugh,"In the fast-paced action thriller SNITCH, Dwayne Johnson stars as a father whose teenage son is wrongly accused of a drug distribution crime and is looking at a mandatory minimum prison sentence of 10 years. Desperate and determined to rescue his son at all costs, he makes a deal with the U.S. attorney to work as an undercover informant and infiltrate a drug cartel on a dangerous mission -- risking everything, including his family and his own life. (c) Summit",Rotten,57,149,Upright,61,63502
